layer,exact_decode_recall,hit,total
0,0.393617,74,188
1,0.473404,89,188
2,0.526596,99,188
3,0.478723,90,188
4,0.452128,85,188
5,0.393617,74,188
6,0.356383,67,188
7,0.37234,70,188
8,0.340426,64,188
9,0.37766,71,188
10,0.361702,68,188
11,0.37766,71,188
12,0.537234,101,188
13,0.675532,127,188
14,0.824468,155,188
15,0.888298,167,188
16,0.93617,176,188
17,0.920213,173,188
18,0.93617,176,188
19,1.0,188,188
